Replace Part * GME12864-14 in C:\Users\Igor\git\altium-selfie\Private_Projects\Supply_modulev2.0\Supply_modulev2.0.SchDoc with GME12864-14 from Displays_LIB.IntLib
Replace Part C1 Cap_pol in C:\Users\Igor\git\altium-selfie\Private_Projects\Supply_modulev2.0\Supply_modulev2.0.SchDoc with Cap_pol from RLC_LIB.IntLib
Replace Part C3 Cap_pol in C:\Users\Igor\git\altium-selfie\Private_Projects\Supply_modulev2.0\Supply_modulev2.0.SchDoc with Cap_pol from RLC_LIB.IntLib
Replace Part C4 Cap_pol in C:\Users\Igor\git\altium-selfie\Private_Projects\Supply_modulev2.0\Supply_modulev2.0.SchDoc with Cap_pol from RLC_LIB.IntLib
Replace Part C5 Cap_pol in C:\Users\Igor\git\altium-selfie\Private_Projects\Supply_modulev2.0\Supply_modulev2.0.SchDoc with Cap_pol from RLC_LIB.IntLib
Replace Part C6 Cap_pol in C:\Users\Igor\git\altium-selfie\Private_Projects\Supply_modulev2.0\Supply_modulev2.0.SchDoc with Cap_pol from RLC_LIB.IntLib
Replace Part C7 Cap_pol in C:\Users\Igor\git\altium-selfie\Private_Projects\Supply_modulev2.0\Supply_modulev2.0.SchDoc with Cap_pol from RLC_LIB.IntLib
Replace Part C8 Cap in C:\Users\Igor\git\altium-selfie\Private_Projects\Supply_modulev2.0\Supply_modulev2.0.SchDoc with Cap from RLC_LIB.IntLib
Replace Part C9 Cap in C:\Users\Igor\git\altium-selfie\Private_Projects\Supply_modulev2.0\Supply_modulev2.0.SchDoc with Cap from RLC_LIB.IntLib
Replace Part C10 Cap_pol in C:\Users\Igor\git\altium-selfie\Private_Projects\Supply_modulev2.0\Supply_modulev2.0.SchDoc with Cap_pol from RLC_LIB.IntLib
Replace Part C11 Cap in C:\Users\Igor\git\altium-selfie\Private_Projects\Supply_modulev2.0\Supply_modulev2.0.SchDoc with Cap from RLC_LIB.IntLib
Replace Part C12 Cap_pol in C:\Users\Igor\git\altium-selfie\Private_Projects\Supply_modulev2.0\Supply_modulev2.0.SchDoc with Cap_pol from RLC_LIB.IntLib
Replace Part C13 Cap in C:\Users\Igor\git\altium-selfie\Private_Projects\Supply_modulev2.0\Supply_modulev2.0.SchDoc with Cap from RLC_LIB.IntLib
Replace Part C14 Cap in C:\Users\Igor\git\altium-selfie\Private_Projects\Supply_modulev2.0\Supply_modulev2.0.SchDoc with Cap from RLC_LIB.IntLib
Replace Part C15 Cap in C:\Users\Igor\git\altium-selfie\Private_Projects\Supply_modulev2.0\Supply_modulev2.0.SchDoc with Cap from RLC_LIB.IntLib
Replace Part C16 Cap in C:\Users\Igor\git\altium-selfie\Private_Projects\Supply_modulev2.0\Supply_modulev2.0.SchDoc with Cap from RLC_LIB.IntLib
Replace Part C17 Cap_pol in C:\Users\Igor\git\altium-selfie\Private_Projects\Supply_modulev2.0\Supply_modulev2.0.SchDoc with Cap_pol from RLC_LIB.IntLib
Replace Part C18 Cap_pol in C:\Users\Igor\git\altium-selfie\Private_Projects\Supply_modulev2.0\Supply_modulev2.0.SchDoc with Cap_pol from RLC_LIB.IntLib
Replace Part C19 Cap in C:\Users\Igor\git\altium-selfie\Private_Projects\Supply_modulev2.0\Supply_modulev2.0.SchDoc with Cap from RLC_LIB.IntLib
Replace Part COM1 komparator in C:\Users\Igor\git\altium-selfie\Private_Projects\Supply_modulev2.0\Supply_modulev2.0.SchDoc with komparator from Comaparator_LIB.IntLib
Replace Part F1 Fuse in C:\Users\Igor\git\altium-selfie\Private_Projects\Supply_modulev2.0\Supply_modulev2.0.SchDoc with Fuse from Fuse_LIB.IntLib
Replace Part F2 Fuse in C:\Users\Igor\git\altium-selfie\Private_Projects\Supply_modulev2.0\Supply_modulev2.0.SchDoc with Fuse from Fuse_LIB.IntLib
Replace Part F3 Fuse in C:\Users\Igor\git\altium-selfie\Private_Projects\Supply_modulev2.0\Supply_modulev2.0.SchDoc with Fuse from Fuse_LIB.IntLib
Replace Part F4 Fuse in C:\Users\Igor\git\altium-selfie\Private_Projects\Supply_modulev2.0\Supply_modulev2.0.SchDoc with Fuse from Fuse_LIB.IntLib
Replace Part F5 Fuse in C:\Users\Igor\git\altium-selfie\Private_Projects\Supply_modulev2.0\Supply_modulev2.0.SchDoc with Fuse from Fuse_LIB.IntLib
Replace Part HALL Hall Sensor in C:\Users\Igor\git\altium-selfie\Private_Projects\Supply_modulev2.0\Supply_modulev2.0.SchDoc with Hall Sensor from Hall_LIB.IntLib
Replace Part IC1 7805T in C:\Users\Igor\git\altium-selfie\Private_Projects\Supply_modulev2.0\Supply_modulev2.0.SchDoc with 7805T from Switching_regulators_LIB.IntLib
Replace Part IC2 7805T in C:\Users\Igor\git\altium-selfie\Private_Projects\Supply_modulev2.0\Supply_modulev2.0.SchDoc with 7805T from Switching_regulators_LIB.IntLib
Replace Part IC3 7805T in C:\Users\Igor\git\altium-selfie\Private_Projects\Supply_modulev2.0\Supply_modulev2.0.SchDoc with 7805T from Switching_regulators_LIB.IntLib
